PWM,speed
100,213
100,210
100,213
100,213
100,210
100,213
100,213
100,210
100,213
100,210
100,213
100,210
100,213
100,210
100,210
100,210
100,213
100,210
100,210
70,207
70,192
70,177
70,168
70,159
70,156
70,153
70,147
70,150
70,144
70,147
70,144
70,144
70,144
70,144
70,144
70,141
70,144
70,144
70,144
70,141
70,144
70,144
70,144
70,141
70,144
70,144
70,144
70,144
70,144
70,141
70,144
70,144
70,144
70,144
70,144
70,141
70,144
70,144
70,144
70,144
70,144
70,141
70,144
70,144
70,141
70,144
70,141
70,144
70,144
70,141
70,144
70,144
70,141
70,144
70,141
70,144
70,141
70,141
70,144
70,141
70,141
70,144
70,141
70,144
70,141
70,144
70,141
70,144
70,144
70,141
70,144
70,144
70,141
70,144
70,144
70,141
70,144
70,141
70,144
70,141
70,144
70,144
70,141
70,144
70,144
70,141
70,144
70,144
70,144
70,141
70,144
70,144
70,144
70,144
70,141
70,144
70,144
70,144
70,144
70,144
70,144
70,144
70,141
70,144
70,144
70,144
70,144
70,144
70,141
70,144
50,141
50,123
50,111
50,102
50,93
50,87
50,84
50,81
50,81
50,78
50,75
50,75
50,75
50,75
50,75
50,72
50,75
50,72
50,75
50,72
50,72
50,72
50,72
50,75
50,72
50,72
50,72
50,72
50,72
50,75
50,72
50,72
50,75
50,72
50,75
50,72
50,72
50,75
50,72
50,75
50,72
50,72
50,75
50,72
50,75
50,72
50,72
50,75
50,72
50,72
50,72
50,75
50,72
50,75
50,72
50,75
50,72
50,72
50,75
50,72
50,75
50,72
50,72
50,75
50,72
50,75
50,72
50,72
50,75
50,72
